"충청북도","3아 이상",1729,916,813,1732,898,834,1636,829,807,1555,809,746,1433,705,728,1284,689,595,1123,551,572,1013,539,474,918,456,462,773,392,381
"충청북도","미상",14,6,8,17,7,10,17,9,8,16,9,7,43,19,24,16,4,12,13,1,12,4,0,4,1,0,1,1,0,1
"충청남도","총계",18628,9579,9049,18200,9305,8895,18604,9598,9006,17302,8776,8526,15670,8033,7637,14380,7280,7100,13228,6773,6455,11950,6173,5777,10984,5688,5296,10221,5210,5011
"충청남도","1아",9053,4649,4404,8595,4387,4208,9040,4724,4316,8591,4315,4276,7756,4055,3701,7116,3570,3546,6691,3443,3248,6105,3142,2963,5728,2987,2741,5582,2865,2717
"충청남도","2아",7081,3659,3422,7174,3652,3522,7221,3644,3577,6532,3369,3163,5967,3034,2933,5599,2877,2722,4953,2510,2443,4426,2302,2124,4055,2080,1975,3593,1839,1754
"충청남도","3아 이상",2458,1253,1205,2364,1235,1129,2265,1195,1070,2115,1061,1054,1868,912,956,1640,829,811,1568,819,749,1403,728,675,1193,621,572,1044,506,538
"충청남도","미상",36,18,18,67,31,36,78,35,43,64,31,33,79,32,47,25,4,21,16,1,15,16,1,15,8,0,8,2,0,2
"전라북도","총계",14555,7506,7049,14231,7340,6891,14087,7225,6862,12698,6531,6167,11348,5780,5568,10001,5091,4910,8971,4589,4382,8165,4137,4028,7475,3836,3639,7032,3448,3584
"전라북도","1아",6635,3457,3178,6585,3412,3173,6546,3360,3186,5906,3039,2867,5391,2796,2595,4686,2362,2324,4334,2245,2089,4081,2065,2016,3745,1885,1860,3612,1816,1796
"전라북도","2아",5618,2884,2734,5550,2846,2704,5472,2787,2685,4935,2550,2385,4409,2197,2212,3946,1999,1947,3437,1723,1714,2979,1490,1489,2762,1458,1304,2616,1240,1376
"전라북도","3아 이상",2283,1154,1129,2079,1074,1005,2033,1060,973,1842,933,909,1532,779,753,1364,727,637,1199,620,579,1105,582,523,967,493,474,804,392,412
"전라북도","미상",19,11,8,17,8,9,36,18,18,15,9,6,16,8,8,5,3,2,1,1,0,0,0,0,1,0,1,0,0,0
"전라남도","총계",15401,7819,7582,14817,7533,7284,15061,7725,7336,13980,7141,6839,12354,6439,5915,11238,5740,5498,10832,5517,5315,9738,4979,4759,8430,4252,4178,7888,4030,3858
"전라남도","1아",7094,3590,3504,6921,3556,3365,6927,3566,3361,6473,3290,3183,5832,3065,2767,5391,2750,2641,5195,2642,2553,4759,2436,2323,4060,2038,2022,3866,1978,1888
"전라남도","2아",5856,2977,2879,5748,2899,2849,5863,3010,2853,5487,2801,2686,4764,2508,2256,4227,2152,2075,4073,2115,1958,3610,1856,1754,3246,1657,1589,2993,1523,1470
"전라남도","3아 이상",2439,1247,1192,2125,1065,1060,2247,1138,1109,1992,1037,955,1737,858,879,1608,834,774,1561,760,801,1362,687,675,1122,556,566,1028,529,499
"전라남도","미상",12,5,7,23,13,10,24,11,13,28,13,15,21,8,13,12,4,8,3,0,3,7,0,7,2,1,1,1,0,1
"경상북도","총계",22206,11538,10668,22062,11437,10625,22310,11453,10857,20616,10654,9962,17957,9253,8704,16079,8385,7694,14472,7371,7101,12873,6573,6300,12045,6105,5940,11311,5777,5534
"경상북도","1아",11240,5898,5342,11020,5801,5219,11010,5697,5313,10371,5384,4987,9031,4670,4361,7996,4156,3840,7264,3632,3632,6632,3380,3252,6290,3181,3109,6167,3109,3058
"경상북도","2아",8594,4378,4216,8637,4379,4258,8805,4499,4306,7965,4038,3927,6850,3481,3369,6341,3311,3030,5625,2947,2678,4833,2460,2373,4420,2232,2188,3975,2058,1917
"경상북도","3아 이상",2339,1243,1096,2365,1237,1128,2439,1229,1210,2243,1212,1031,2021,1077,944,1725,914,811,1570,790,780,1401,733,668,1330,692,638,1169,610,559
"경상북도","미상",33,19,14,40,20,20,56,28,28,37,20,17,55,25,30,17,4,13,13,2,11,7,0,7,5,0,5,0,0,0
"경상남도","총계",29504,15208,14296,29763,15451,14312,29537,15135,14402,27138,13915,13223,23849,12331,11518,21224,10860,10364,19250,9764,9486,16823,8665,8158,15562,8038,7524,14017,7046,6971
"경상남도","1아",14505,7470,7035,14623,7625,6998,14620,7485,7135,13560,6879,6681,11995,6183,5812,10682,5430,5252,9801,5018,4783,8707,4453,4254,8367,4322,4045,7781,3924,3857
"경상남도","2아",11607,5951,5656,11819,6128,5691,11699,5971,5728,10642,5495,5147,9320,4833,4487,8308,4264,4044,7490,3764,3726,6423,3334,3089,5689,2911,2778,4948,2467,2481
"경상남도","3아 이상",3367,1772,1595,3290,1681,1609,3178,1664,1514,2911,1526,1385,2495,1293,1202,2218,1154,1064,1951,982,969,1689,876,813,1504,803,701,1288,655,633
"경상남도","미상",25,15,10,31,17,14,40,15,25,25,15,10,39,22,17,16,12,4,8,0,8,4,2,2,2,2,0,0,0,0
"제주특별자치도","총계",5328,2705,2623,5526,2832,2694,5600,2916,2684,5494,2854,2640,5037,2611,2426,4781,2443,2338,4500,2272,2228,3989,2090,1899,3728,1916,1812,3599,1862,1737
"제주특별자치도","1아",2401,1238,1163,2540,1300,1240,2606,1327,1279,2496,1293,1203,2404,1217,1187,2287,1170,1117,2118,1085,1033,1946,1024,922,1794,908,886,1802,938,864
"제주특별자치도","2아",1978,975,1003,2008,1022,986,2017,1064,953,2056,1048,1008,1842,959,883,1776,898,878,1700,850,850,1491,775,716,1404,726,678,1314,675,639
"제주특별자치도","3아 이상",943,487,456,972,508,464,969,521,448,932,510,422,778,428,350,716,374,342,678,337,341,552,291,261,530,282,248,483,249,234
"제주특별자치도","미상",6,5,1,6,2,4,8,4,4,10,3,7,13,7,6,2,1,1,4,0,4,0,0,0,0,0,0,0,0,0
